strategy,match_time_utc,event,match,market,pick,best_of,book,odds,stake,result,pl,cum_pl,clv_pp,clv_ref,close_quality,status,flagged_at_utc
bo3_dog_plus_1_5_v0,2026-07-28 11:00,,Black Phoenix vs Bebop,+1.5 maps,Bebop,3,Sharp,1.353,1,won,0.353,,0.71,Sharp,,ineligible,2026-07-28 04:07
bo3_dog_plus_1_5_v0,2026-07-28 15:00,,MIBR vs Fluxo,+1.5 maps,Fluxo,3,Sharp,1.813,1,lost,-1.0,0.697,0.43,Sharp,,selected,2026-07-28 01:06
bo3_dog_plus_1_5_v0,2026-07-28 17:00,,Misa vs Falcons Force,+1.5 maps,Misa,3,Sharp,1.312,1,lost,-1.0,,-0.11,Sharp,,ineligible,2026-07-28 11:05
bo3_dog_plus_1_5_v0,2026-07-28 18:00,,Bounty Hunters vs LP,+1.5 maps,LP,3,Sharp,1.287,1,won,0.287,,0.0,Sharp,,quarantined,2026-07-28 03:05
bo3_dog_plus_1_5_v0,2026-07-28 21:00,,Imperial vs BESTIA,+1.5 maps,BESTIA,3,Sharp,1.426,1,lost,-1.0,-0.303,0.94,Sharp,,selected,2026-07-27 22:05
bo3_dog_plus_1_5_v0,2026-07-29 01:00,,regain vs Voca,+1.5 maps,regain,3,Sharp,2.18,1,lost,-1.0,,,,,quarantined,2026-07-29 00:05
bo3_dog_plus_1_5_v0,2026-07-29 14:00,,ex-RUSTEC vs ex-Young Ninjas,+1.5 maps,ex-Young Ninjas,3,Sharp,1.617,1,won,0.617,0.314,-0.17,Sharp,,selected,2026-07-29 09:07
bo3_dog_plus_1_5_v0,2026-07-29 17:00,,Bebop vs Misa,+1.5 maps,Misa,3,Sharp,1.633,1,lost,-1.0,,0.84,Sharp,,ineligible,2026-07-29 02:05
bo3_dog_plus_1_5_v0,2026-07-29 18:00,,MIBR vs LP,+1.5 maps,LP,3,Sharp,2.05,1,won,1.05,1.364,1.72,Sharp,,selected,2026-07-29 03:05
bo3_dog_plus_1_5_v0,2026-07-29 22:00,,NRG vs Marsborne,+1.5 maps,Marsborne,3,Sharp,2.1,1,won,1.1,,,,,ineligible,2026-07-29 21:06
bo3_dog_plus_1_5_v0,2026-07-30 17:00,,Just Players vs Inner Circle Academy,+1.5 maps,Inner Circle Academy,3,Sharp,1.483,1,lost,-1.0,0.364,-0.77,Sharp,,selected,2026-07-30 00:08
bo3_dog_plus_1_5_v0,2026-07-30 18:00,,ShindeN vs Imperial,+1.5 maps,ShindeN,3,Sharp,1.625,1,won,0.625,0.989,3.71,Sharp,,selected,2026-07-30 05:06
bo3_dog_plus_1_5_v0,2026-07-30 18:15,,Young TigeRES vs Banda Chuya,+1.5 maps,Banda Chuya,3,Sharp,1.714,1,lost,-1.0,-0.011,-0.01,Sharp,,selected,2026-07-30 06:10
bo3_dog_plus_1_5_v0,2026-07-31 11:00,,SINNERS vs Rune Eaters,+1.5 maps,Rune Eaters,3,Sharp,1.704,1,lost,-1.0,-1.011,-0.4,Sharp,,selected,2026-07-31 01:06
bo3_dog_plus_1_5_v0,2026-07-31 12:30,,FaZe vs The MongolZ,+1.5 maps,The MongolZ,3,Sharp,1.465,1,won,0.465,,-0.64,Sharp,,ineligible,2026-07-30 15:07
bo3_dog_plus_1_5_v0,2026-07-31 14:00,,Lavked vs megoshort,+1.5 maps,megoshort,3,Sharp,1.752,1,won,0.752,,11.8,Sharp,,ineligible,2026-07-31 02:07
bo3_dog_plus_1_5_v0,2026-07-31 15:30,,paiN vs Astralis,+1.5 maps,paiN,3,Sharp,1.448,1,won,0.448,-0.563,0.68,Sharp,,selected,2026-07-31 06:08
bo3_dog_plus_1_5_v0,2026-07-31 18:00,,Imperial vs Fluxo,+1.5 maps,Fluxo,3,Sharp,1.49,1,won,0.49,-0.073,-0.53,Sharp,,selected,2026-07-31 11:06
bo3_dog_plus_1_5_v0,2026-07-31 20:30,,LP vs BESTIA,+1.5 maps,LP,3,Sharp,1.476,1,lost,-1.0,-1.073,-1.47,Sharp,,selected,2026-07-31 12:09
bo3_dog_plus_1_5_v0,2026-08-01 00:30,,Marsborne vs regain,+1.5 maps,regain,3,Sharp,1.952,1,lost,-1.0,-2.073,-1.31,Sharp,,selected,2026-07-31 15:08
bo3_dog_plus_1_5_v0,2026-08-01 10:30,,Spirit vs FaZe,+1.5 maps,FaZe,3,Sharp,2.12,1,won,1.12,-0.953,0.72,Sharp,,selected,2026-07-31 23:07
bo3_dog_plus_1_5_v0,2026-08-01 12:00,,SINQU vs BC.Game,+1.5 maps,SINQU,3,Sharp,3.76,1,lost,-1.0,,-5.92,Sharp,,quarantined,2026-08-01 07:06
bo3_dog_plus_1_5_v0,2026-08-01 14:00,,SPARTA vs Rune Eaters,+1.5 maps,Rune Eaters,3,Sharp,1.407,1,won,0.407,-0.546,-0.03,Sharp,,selected,2026-07-31 19:05
bo3_dog_plus_1_5_v0,2026-08-01 17:00,,ENCE vs BC.Game,+1.5 maps,ENCE,3,Sharp,2.71,1,lost,-1.0,,-0.21,Sharp,,quarantined,2026-08-01 15:08
bo3_dog_plus_1_5_v0,2026-08-01 22:00,,NRG vs Voca,+1.5 maps,Voca,3,Sharp,1.763,1,won,0.763,,,,,ineligible,2026-08-01 21:05
bo3_dog_plus_1_5_v0,2026-08-02 10:00,,GenOne vs CYBERSHOKE,+1.5 maps,GenOne,3,Sharp,1.455,1,won,0.455,-0.091,1.4,Sharp,,selected,2026-08-02 00:07
bo3_dog_plus_1_5_v0,2026-08-02 13:00,,MOUZ NXT vs WBT,+1.5 maps,WBT,3,Sharp,1.314,1,won,0.314,0.223,0.0,Sharp,,selected,2026-08-01 22:06
bo3_dog_plus_1_5_v0,2026-08-02 18:00,,ShindeN vs BESTIA,+1.5 maps,ShindeN,3,Sharp,1.442,1,lost,-1.0,-0.777,0.43,Sharp,,selected,2026-08-02 06:05
bo3_dog_plus_1_5_v0,2026-08-03 08:00,,WW vs CYBERSHOKE Prospects,+1.5 maps,CYBERSHOKE Prospects,3,Sharp,1.588,1,won,0.588,,3.88,Sharp,,quarantined,2026-08-03 05:05
bo3_dog_plus_1_5_v0,2026-08-03 13:00,,MOUZ NXT vs Misa,+1.5 maps,MOUZ NXT,3,Sharp,1.413,1,won,0.413,-0.364,-0.65,Sharp,,selected,2026-08-03 02:14
bo3_dog_plus_1_5_v0,2026-08-03 17:00,,Keyd Stars vs BORRACHEIROS,+1.5 maps,BORRACHEIROS,3,Sharp,1.885,1,won,0.885,,-0.96,Sharp,,ineligible,2026-08-02 23:05
bo3_dog_plus_1_5_v0,2026-08-03 23:00,,Grêmio vs paiN Academy,+1.5 maps,Grêmio,3,Sharp,1.327,1,won,0.327,-0.037,-4.76,Sharp,,selected,2026-08-03 01:05
bo3_dog_plus_1_5_v0,2026-08-04 14:00,,Nemiga vs GenOne,+1.5 maps,GenOne,3,Sharp,1.41,1,won,0.41,0.373,-1.67,Sharp,,selected,2026-08-03 16:05
bo3_dog_plus_1_5_v0,2026-08-04 14:00,,Just Players vs Enjoy,+1.5 maps,Enjoy,3,Sharp,1.521,1,lost,-1.0,-0.627,2.72,Sharp,,selected,2026-08-04 03:06
bo3_dog_plus_1_5_v0,2026-08-04 17:00,,fnatic vs EAC,+1.5 maps,EAC,3,Sharp,1.885,1,lost,-1.0,-1.627,-0.23,Sharp,,selected,2026-08-04 04:05
bo3_dog_plus_1_5_v0,2026-08-04 23:00,,BESTIA vs METANOIA Wolves,+1.5 maps,METANOIA Wolves,3,Sharp,3.42,1,lost,-1.0,,,,,ineligible,2026-08-04 22:05
bo3_dog_plus_1_5_v0,2026-08-05 08:00,,CYBERSHOKE Prospects vs Nuclear TigeRES,+1.5 maps,CYBERSHOKE Prospects,3,Sharp,1.694,1,lost,-1.0,-2.627,0.18,Sharp,,selected,2026-08-05 04:06
bo3_dog_plus_1_5_v0,2026-08-05 20:00,,Imperial vs ALKA,+1.5 maps,ALKA,3,Sharp,2.49,1,won,1.49,-1.137,-3.73,Sharp,,selected,2026-08-05 15:07
bo3_dog_plus_1_5_v0,2026-08-05 23:00,,BESTIA vs Grêmio,+1.5 maps,Grêmio,3,Sharp,2.79,1,lost,-1.0,,-1.79,Sharp,,ineligible,2026-08-05 04:06
bo3_dog_plus_1_5_v0,2026-08-06 14:00,,paiN Academy vs MEIA NOITE,+1.5 maps,paiN Academy,3,Sharp,1.649,1,won,0.649,,8.37,Sharp,,quarantined,2026-08-05 23:05
bo3_dog_plus_1_5_v0,2026-08-06 23:00,,Galorys vs BORRACHEIROS,+1.5 maps,BORRACHEIROS,3,Sharp,2.0,1,lost,-1.0,,3.23,Sharp,,ineligible,2026-08-06 07:06
bo3_dog_plus_1_5_v0,2026-08-07 09:00,,SAW vs EAC,+1.5 maps,EAC,3,Sharp,1.581,1,lost,-1.0,,4.28,Sharp,,quarantined,2026-08-06 23:06
